iter	Logloss
0	0.6907959124
1	0.6883020847
2	0.6856669528
3	0.6834334157
4	0.6816445597
5	0.679573268
6	0.6780194833
7	0.675771968
8	0.6737425746
9	0.6720059508
10	0.6703802867
11	0.6686587023
12	0.6669426878
13	0.6651098646
14	0.6635847079
15	0.6617936029
16	0.6600888405
17	0.6582169045
18	0.6563938875
19	0.6548148312
20	0.6529761361
21	0.6508660205
22	0.6489752908
23	0.6471423586
24	0.6450684735
25	0.6432945785
26	0.641643859
27	0.6401001604
28	0.6379786402
29	0.6365305696
30	0.6344997113
31	0.6330666854
32	0.6312801908
33	0.6297474217
34	0.6277333725
35	0.6261513375
36	0.6246104868
37	0.6225712084
38	0.6210945678
39	0.6196097594
40	0.618040459
41	0.6163356669
42	0.6148432126
43	0.6132309939
44	0.6111969509
45	0.6093544906
46	0.6080724549
47	0.606184014
48	0.6047960392
49	0.6034540778
50	0.601727001
51	0.6005095315
52	0.5989988736
53	0.597460973
54	0.5953708942
55	0.5937889664
56	0.5922972415
57	0.5908709126
58	0.5897164794
59	0.5879722798
60	0.5866553335
61	0.5851519971
62	0.5836618047
63	0.5817794507
64	0.5804929152
65	0.5787283386
66	0.5768564747
67	0.5752575582
68	0.5733065265
69	0.5721086693
70	0.5704826252
71	0.5685727584
72	0.566929026
73	0.5655903373
74	0.5641299374
75	0.5625443982
76	0.5614337661
77	0.5601000368
78	0.5589737275
79	0.5577336326
80	0.5565657435
81	0.5550877163
82	0.5535744913
83	0.552256853
84	0.5511587079
85	0.5500133614
86	0.5490054005
87	0.5477409659
88	0.5462919827
89	0.5445847696
90	0.5433394328
91	0.541981603
92	0.5407314081
93	0.5392885606
94	0.5379557746
95	0.5367175965
96	0.5355931983
97	0.5341656425
98	0.5330460241
99	0.5314070832
100	0.5302739721
101	0.5293625033
102	0.5284380319
103	0.5270868861
104	0.5251646905
105	0.5241950574
106	0.5226679693
107	0.5216616398
108	0.5206100078
109	0.5190158009
110	0.5179984894
111	0.5165697299
112	0.5153202623
113	0.514114996
114	0.5127528329
115	0.5116004761
116	0.5106579276
117	0.5094143848
118	0.5079670866
119	0.5064933671
120	0.5053706297
121	0.5043840658
122	0.5030163563
123	0.50164234
124	0.5004981386
125	0.4993870142
126	0.4983041903
127	0.4970398693
128	0.4960733876
129	0.494964312
130	0.4940135862
131	0.4927046321
132	0.4915921649
133	0.4901140157
134	0.4890550414
135	0.4877406872
136	0.4868093655
137	0.4857734237
138	0.4846755359
139	0.4832887723
140	0.4819031707
141	0.4806476201
142	0.4795621538
143	0.4786930868
144	0.4775000957
145	0.4765342576
146	0.4750541872
147	0.4738867189
148	0.4726592577
149	0.4716179083
150	0.4709409575
151	0.4700964281
152	0.4690666577
153	0.4680888002
154	0.466707062
155	0.4653377502
156	0.4644846425
157	0.4635009949
158	0.4625772951
159	0.4616627166
160	0.4608266772
161	0.4599178864
162	0.4589502495
163	0.4582838522
164	0.4570252366
165	0.4562778411
166	0.4551954013
167	0.4544086153
168	0.4537968673
169	0.452779211
170	0.4520891394
171	0.4512245297
172	0.4502972762
173	0.4493244128
174	0.4483686361
175	0.4475657871
176	0.4468524765
177	0.4460603272
178	0.445311491
179	0.4444623789
180	0.4434120477
181	0.4422696969
182	0.4414156594
183	0.4406666342
184	0.4397610712
185	0.4386193877
186	0.437916345
187	0.4370878322
188	0.4359615023
189	0.4354739608
190	0.4344675147
191	0.4336843173
192	0.4330525389
193	0.4323218242
194	0.4316064958
195	0.4304314723
196	0.4294956675
197	0.4285264371
198	0.4275508359
199	0.4267957681
200	0.4259328604
201	0.4251760367
202	0.4245286186
203	0.4234820226
204	0.4228447076
205	0.4218691354
206	0.421010741
207	0.4198993289
208	0.419474483
209	0.4183617706
210	0.4175414078
211	0.4167549918
212	0.4162065983
213	0.4154908334
214	0.4144970153
215	0.4138272242
216	0.4131590823
217	0.4124386302
218	0.4117601453
219	0.4111613134
220	0.4102298621
221	0.4094356308
222	0.4084739111
223	0.4078923263
224	0.4074373705
225	0.4068456175
226	0.4061037729
227	0.4052900844
228	0.4046712397
229	0.4041375429
230	0.4035836998
231	0.4028122899
232	0.4017897392
233	0.4011591454
234	0.4007217428
235	0.4000428374
236	0.3995075755
237	0.3987732593
238	0.3980692442
239	0.3974012237
240	0.3965883951
241	0.3960476678
242	0.3954224019
243	0.3946371906
244	0.394093423
245	0.3935186533
246	0.3926652438
247	0.3919961856
248	0.3914353819
249	0.3909523019
250	0.3903653386
251	0.3896796822
252	0.3885045834
253	0.3880628168
254	0.3873479808
255	0.3865597131
256	0.3857751606
257	0.3853159321
258	0.3847368963
259	0.3840124732
260	0.3834828459
261	0.3828862176
262	0.3819853903
263	0.3812582187
264	0.380830745
265	0.3799700822
266	0.3792646237
267	0.3789174387
268	0.3784712529
269	0.377737759
270	0.3771955278
271	0.3765457348
272	0.3758973006
273	0.3751620235
274	0.374687589
275	0.374034358
276	0.3735489691
277	0.3726374152
278	0.3718633512
279	0.3712669243
280	0.3706116205
281	0.3701585899
282	0.3694152059
283	0.3689131409
284	0.3683336677
285	0.3674627526
286	0.3670499146
287	0.3663053435
288	0.3657613813
289	0.3650629071
290	0.3644582842
291	0.364127396
292	0.3636056077
293	0.363033492
294	0.3626133728
295	0.3619008956
296	0.3613563987
297	0.3608208187
298	0.3603511083
299	0.3597227071
300	0.3591243925
301	0.3586413027
302	0.3582928979
303	0.3576226574
304	0.357150055
305	0.3564907714
306	0.3557663411
307	0.3551696307
308	0.3543894131
309	0.3539496504
310	0.3533628119
311	0.3528468243
312	0.3524717259
313	0.3518880228
314	0.3510857421
315	0.3504995815
316	0.3498821987
317	0.3494252232
318	0.3489383169
319	0.3484319548
320	0.3479239265
321	0.3473209373
322	0.3468175285
323	0.3461777813
324	0.3459263667
325	0.3452805324
326	0.3449305073
327	0.3445290372
328	0.3437402667
329	0.3431443953
330	0.3425745979
331	0.3421206518
332	0.3416419976
333	0.3411395846
334	0.3405964135
335	0.3402075092
336	0.33959747
337	0.3390779639
338	0.3385533798
339	0.3382945091
340	0.3378365992
341	0.3372322104
342	0.3367673672
343	0.3363499507
344	0.3357684407
345	0.3353761966
346	0.3349156016
347	0.3344565443
348	0.3339799727
349	0.333400712
350	0.3327475371
351	0.3323050586
352	0.3318394215
353	0.3312083722
354	0.3307950902
355	0.3304715894
356	0.3298267401
357	0.3295287546
358	0.3290135315
359	0.3283837636
360	0.3278779753
361	0.327408386
362	0.3266473846
363	0.3262130599
364	0.325679451
365	0.3251076635
366	0.3243388388
367	0.3240079123
368	0.3236375506
369	0.3231670838
370	0.3228212205
371	0.3223354156
372	0.3218582216
373	0.3215810323
374	0.3210258999
375	0.3204154616
376	0.319967325
377	0.3194568144
378	0.3191041047
379	0.3184209528
380	0.3179646436
381	0.3175562035
382	0.3170139542
383	0.3166020499
384	0.3162157649
385	0.3157984535
386	0.315302517
387	0.3148748086
388	0.3144038716
389	0.3139383755
390	0.313588464
