iter	Logloss
0	0.6909948758
1	0.6891965866
2	0.6868648529
3	0.6851951054
4	0.6830824443
5	0.6809765952
6	0.6788161142
7	0.6770616259
8	0.6755356789
9	0.6739173617
10	0.6716493879
11	0.6695333208
12	0.6674009051
13	0.6659007754
14	0.6645145416
15	0.6621295384
16	0.6606103352
17	0.658828531
18	0.657331058
19	0.6551580429
20	0.6537891797
21	0.6517216819
22	0.6499501637
23	0.6478222438
24	0.6451529094
25	0.6434399741
26	0.6413976124
27	0.6403496606
28	0.6386107036
29	0.6369485855
30	0.6352525439
31	0.633634431
32	0.6311753137
33	0.6299956185
34	0.6283897672
35	0.6260132108
36	0.6241810662
37	0.6231053216
38	0.621704919
39	0.6199237279
40	0.6184409005
41	0.6170523507
42	0.6153068542
43	0.6137530463
44	0.6122153146
45	0.6108660017
46	0.6090857642
47	0.6078679221
48	0.606187548
49	0.6041902133
50	0.6032325881
51	0.6020815713
52	0.6004885265
53	0.5988913264
54	0.5968097278
55	0.5950239726
56	0.5936925071
57	0.5920170375
58	0.5906370708
59	0.5890771321
60	0.5876004355
61	0.5861125674
62	0.5846016748
63	0.5831657137
64	0.5817992347
65	0.5796910695
66	0.5786100115
67	0.5769152641
68	0.5757051195
69	0.5740705899
70	0.5725815637
71	0.5708721706
72	0.5686912877
73	0.567440033
74	0.5661827156
75	0.5646744115
76	0.5636394364
77	0.5622822898
78	0.5611342703
79	0.5590853691
80	0.5583017894
81	0.5562304088
82	0.5549662113
83	0.5533414228
84	0.552011013
85	0.5506120409
86	0.5489160674
87	0.5478716578
88	0.5469317777
89	0.5447201729
90	0.5434709276
91	0.5417400769
92	0.5403162411
93	0.5385511262
94	0.5367496014
95	0.5350065572
96	0.5335139547
97	0.5322039127
98	0.5310037136
99	0.5296779701
100	0.5284373079
101	0.5269495419
102	0.5252476079
103	0.523640837
104	0.5227285113
105	0.5216064113
106	0.5205740247
107	0.519430433
108	0.5185038703
109	0.5170946802
110	0.5154351166
111	0.5147198609
112	0.5139481681
113	0.5123222896
114	0.5107621465
115	0.509610108
116	0.5081152235
