iter	Logloss
0	0.691523779
1	0.6893135626
2	0.6872125283
3	0.6854918373
4	0.6835780762
5	0.6816347845
6	0.6804180168
7	0.6788393817
8	0.6772241185
9	0.6752135882
10	0.6731473811
11	0.6715337325
12	0.6697777857
13	0.6681559388
14	0.6660529556
15	0.6640530583
16	0.6621587767
17	0.6605107045
18	0.6589470279
19	0.6576379032
20	0.6565734774
21	0.6554751509
22	0.6537566132
23	0.6519386912
24	0.6503392594
25	0.6483804259
26	0.6471916694
27	0.6458432501
28	0.6437255114
29	0.6420313339
30	0.6403826528
31	0.6387859183
32	0.6371968306
33	0.6357028484
34	0.6342501263
35	0.6331208741
36	0.6313376336
37	0.6296623183
38	0.6283314749
39	0.6262297691
40	0.6246428429
41	0.6226748817
42	0.6210928695
43	0.620143357
44	0.6187888806
45	0.6171785178
46	0.6157390339
47	0.6140117577
48	0.6123064062
49	0.6105663188
50	0.6092049691
51	0.6076133659
52	0.605767321
53	0.6049030748
54	0.6030111388
55	0.6014157436
56	0.6004901528
57	0.5990659828
58	0.597904489
59	0.5966563164
60	0.5949277463
61	0.5938309673
62	0.5919588314
63	0.590492908
64	0.5888662636
65	0.5873890734
66	0.5859237592
67	0.5845763091
68	0.5829404853
69	0.5816900572
70	0.5801136958
71	0.5786059997
72	0.5771099318
73	0.5758066758
74	0.5749113277
75	0.5739086542
76	0.5724409102
77	0.571118597
78	0.5696731463
79	0.5680934734
80	0.5666611149
81	0.5650948773
82	0.5634899547
83	0.5623208443
84	0.5613714736
85	0.5601773726
86	0.5588486504
87	0.5577393676
88	0.5557377161
89	0.5543470337
90	0.5528368837
91	0.5516033897
92	0.5503425515
93	0.5493311456
94	0.5479820937
95	0.546652898
96	0.5455118165
97	0.5440905019
98	0.542888584
99	0.5416732845
100	0.5404114142
101	0.5392408809
102	0.5379758824
103	0.5363424677
104	0.5352528027
105	0.5338383279
106	0.5320975773
107	0.5304954818
108	0.5292884994
109	0.5285660266
110	0.5277418343
111	0.5262099776
112	0.5254611373
113	0.5239863305
114	0.5225753992
115	0.5211553683
116	0.5202498198
117	0.5188966824
118	0.5178518356
119	0.5166225007
120	0.5152828097
121	0.5143470708
122	0.513161322
123	0.5118457056
124	0.5109027839
125	0.509352526
126	0.5078913551
127	0.5068614811
128	0.5056162933
129	0.5045916789
130	0.5034634279
131	0.5021872818
132	0.5007283854
133	0.4997488509
134	0.498822431
135	0.497567098
136	0.4966397746
